doy,mean_DTR_C,sd_DTR_C,enabled
1,10.739122227465785,2.509783196561176,0
2,10.739122227465785,2.509783196561176,0
3,10.739122227465785,2.509783196561176,0
4,10.739122227465785,2.509783196561176,0
5,10.739122227465785,2.509783196561176,0
6,10.739122227465785,2.509783196561176,0
7,10.739122227465785,2.509783196561176,0
8,10.739122227465785,2.509783196561176,0
9,10.739122227465785,2.509783196561176,0
10,10.739122227465785,2.509783196561176,0
11,10.739122227465785,2.509783196561176,0
12,10.739122227465785,2.509783196561176,0
13,10.739122227465785,2.509783196561176,0
14,10.739122227465785,2.509783196561176,0
15,10.739122227465785,2.509783196561176,0
16,10.739122227465785,2.509783196561176,0
17,10.739122227465785,2.509783196561176,0
18,10.739122227465785,2.509783196561176,0
19,10.739122227465785,2.509783196561176,0
20,10.739122227465785,2.509783196561176,0
21,10.739122227465785,2.509783196561176,0
22,10.739122227465785,2.509783196561176,0
23,10.739122227465785,2.509783196561176,0
24,10.739122227465785,2.509783196561176,0
25,10.739122227465785,2.509783196561176,0
26,10.739122227465785,2.509783196561176,0
27,10.739122227465785,2.509783196561176,0
28,10.739122227465785,2.509783196561176,0
29,10.739122227465785,2.509783196561176,0
30,10.739122227465785,2.509783196561176,0
31,10.739122227465785,2.509783196561176,0
32,10.739122227465785,2.509783196561176,0
33,10.739122227465785,2.509783196561176,0
34,10.739122227465785,2.509783196561176,0
35,10.739122227465785,2.509783196561176,0
36,10.739122227465785,2.509783196561176,0
37,10.739122227465785,2.509783196561176,0
38,10.739122227465785,2.509783196561176,0
39,10.739122227465785,2.509783196561176,0
40,10.739122227465785,2.509783196561176,0
41,10.739122227465785,2.509783196561176,0
42,10.739122227465785,2.509783196561176,0
43,10.739122227465785,2.509783196561176,0
44,10.739122227465785,2.509783196561176,0
45,10.739122227465785,2.509783196561176,0
46,10.739122227465785,2.509783196561176,0
47,10.739122227465785,2.509783196561176,0
48,10.739122227465785,2.509783196561176,0
49,10.739122227465785,2.509783196561176,0
50,10.739122227465785,2.509783196561176,0
51,10.739122227465785,2.509783196561176,0
52,10.739122227465785,2.509783196561176,0
53,10.739122227465785,2.509783196561176,0
54,10.739122227465785,2.509783196561176,0
55,10.739122227465785,2.509783196561176,0
56,10.739122227465785,2.509783196561176,0
57,10.739122227465785,2.509783196561176,0
58,10.739122227465785,2.509783196561176,0
59,10.739122227465785,2.509783196561176,0
60,10.739122227465785,2.509783196561176,0
61,10.739122227465785,2.509783196561176,0
62,10.739122227465785,2.509783196561176,0
63,10.739122227465785,2.509783196561176,0
64,10.739122227465785,2.509783196561176,0
65,10.739122227465785,2.509783196561176,0
66,10.739122227465785,2.509783196561176,0
67,10.739122227465785,2.509783196561176,0
68,10.739122227465785,2.509783196561176,0
69,10.739122227465785,2.509783196561176,0
70,10.739122227465785,2.509783196561176,0
71,10.739122227465785,2.509783196561176,0
72,10.739122227465785,2.509783196561176,0
73,10.739122227465785,2.509783196561176,0
74,10.739122227465785,2.509783196561176,0
75,10.739122227465785,2.509783196561176,0
