model,seasonal,q,beta,CV_RMSE_C,CV_n
REG_POOLED_Q0,False,0.0,1.0929385078865548,1.899123604693307,2564
REG_POOLED_Q0.5,False,0.5,1.494447439238665,1.9844117478158507,2564
REG_POOLED_Q1,False,1.0,1.7792737794001843,2.0748604705399707,2564
REG_SEASONAL_Q0,True,0.0,1.1085040032550604,1.89102219543389,2564
REG_SEASONAL_Q0.5,True,0.5,1.5271121449020657,1.9788014396033637,2564
REG_SEASONAL_Q1,True,1.0,1.929450435929925,2.0632181714499134,2564
