scenario,arm,KRT,year,treatment,observed_kg_ha,simulated_kg_ha,error_kg_ha,ADAT,MDAT,CWAM,ETCP,IRCM,SRADA
RAW_N_OFF,REGIONAL_HR,1.0,2019,W4,12030,11678.0,-352.0,2019183,2019229,21922,512.7,540,23.4
RAW_N_OFF,REGIONAL_HR,1.0,2020,W1,9275,17005.0,7730.0,2020181,2020232,27684,501.2,439,24.2
RAW_N_OFF,REGIONAL_HR,1.0,2020,W2,11100,17007.0,5907.0,2020181,2020232,27746,500.9,472,24.2
RAW_N_OFF,REGIONAL_HR,1.0,2020,W3,12030,17008.0,4978.0,2020181,2020232,27750,501.0,506,24.2
RAW_N_OFF,REGIONAL_HR,1.0,2020,W4,11595,17009.0,5414.0,2020181,2020232,27753,501.0,540,24.2
RAW_N_OFF,M15_HR_K0.25,0.25,2019,W1,9250,12492.0,3242.0,2019183,2019230,22936,514.7,439,23.3
RAW_N_OFF,M15_HR_K0.25,0.25,2019,W2,10725,12503.0,1778.0,2019183,2019230,23072,514.8,472,23.3
RAW_N_OFF,M15_HR_K0.25,0.25,2019,W3,12490,12503.0,13.0,2019183,2019230,23072,514.8,506,23.3
RAW_N_OFF,M15_HR_K0.25,0.25,2019,W4,12030,12503.0,473.0,2019183,2019230,23072,514.8,540,23.3
RAW_N_OFF,M15_HR_K0.25,0.25,2020,W1,9275,17520.0,8245.0,2020181,2020232,28353,500.8,439,24.2
RAW_N_OFF,M15_HR_K0.25,0.25,2020,W2,11100,17519.0,6419.0,2020181,2020232,28395,500.5,472,24.2
RAW_N_OFF,M15_HR_K0.25,0.25,2020,W3,12030,17519.0,5489.0,2020181,2020232,28396,500.5,506,24.2
RAW_N_OFF,M15_HR_K0.25,0.25,2020,W4,11595,17520.0,5925.0,2020181,2020232,28400,500.6,540,24.2
RAW_N_OFF,REG_HR_K0.25,0.25,2019,W1,9250,12488.0,3238.0,2019183,2019229,22926,512.6,439,23.4
RAW_N_OFF,REG_HR_K0.25,0.25,2019,W2,10725,12499.0,1774.0,2019183,2019229,23061,512.7,472,23.4
RAW_N_OFF,REG_HR_K0.25,0.25,2019,W3,12490,12499.0,9.0,2019183,2019229,23061,512.7,506,23.4
RAW_N_OFF,REG_HR_K0.25,0.25,2019,W4,12030,12499.0,469.0,2019183,2019229,23061,512.7,540,23.4
RAW_N_OFF,REG_HR_K0.25,0.25,2020,W1,9275,17513.0,8238.0,2020181,2020232,28373,501.0,439,24.2
RAW_N_OFF,REG_HR_K0.25,0.25,2020,W2,11100,17514.0,6414.0,2020181,2020232,28424,500.8,472,24.2
RAW_N_OFF,REG_HR_K0.25,0.25,2020,W3,12030,17514.0,5484.0,2020181,2020232,28425,500.8,506,24.2
RAW_N_OFF,REG_HR_K0.25,0.25,2020,W4,11595,17514.0,5919.0,2020181,2020232,28425,500.8,540,24.2
RAW_N_OFF,M15_HR_K0.5,0.5,2019,W1,9250,12224.0,2974.0,2019183,2019230,22583,514.7,439,23.3
RAW_N_OFF,M15_HR_K0.5,0.5,2019,W2,10725,12233.0,1508.0,2019183,2019230,22700,514.8,472,23.3
RAW_N_OFF,M15_HR_K0.5,0.5,2019,W3,12490,12233.0,-257.0,2019183,2019230,22700,514.8,506,23.3
RAW_N_OFF,M15_HR_K0.5,0.5,2019,W4,12030,12233.0,203.0,2019183,2019230,22700,514.8,540,23.3
RAW_N_OFF,M15_HR_K0.5,0.5,2020,W1,9275,17424.0,8149.0,2020181,2020232,28203,500.9,439,24.2
RAW_N_OFF,M15_HR_K0.5,0.5,2020,W2,11100,17424.0,6324.0,2020181,2020232,28249,500.6,472,24.2
RAW_N_OFF,M15_HR_K0.5,0.5,2020,W3,12030,17425.0,5395.0,2020181,2020232,28250,500.6,506,24.2
RAW_N_OFF,M15_HR_K0.5,0.5,2020,W4,11595,17425.0,5830.0,2020181,2020232,28251,500.6,540,24.2
RAW_N_OFF,REG_HR_K0.5,0.5,2019,W1,9250,12216.0,2966.0,2019183,2019229,22569,512.6,439,23.4
RAW_N_OFF,REG_HR_K0.5,0.5,2019,W2,10725,12225.0,1500.0,2019183,2019229,22685,512.7,472,23.4
RAW_N_OFF,REG_HR_K0.5,0.5,2019,W3,12490,12225.0,-265.0,2019183,2019229,22685,512.7,506,23.4
RAW_N_OFF,REG_HR_K0.5,0.5,2019,W4,12030,12225.0,195.0,2019183,2019229,22685,512.7,540,23.4
