beta_factor,beta,n,RMSE_C,MAE_C,Bias_C
0.0,0.0,5917,2.946890233317634,1.9135321758142143,0.33682363261987763
0.5,0.5542520016275302,5917,2.785282228374009,1.8375124007126749,0.11760854892973845
1.0,1.1085040032550604,5917,2.7712664820119306,1.8413666867307101,-0.030707257822360376
1.5,1.6627560048825907,5917,2.7968392461738976,1.8746668077265651,-0.14019740625323332
2.0,2.2170080065101208,5917,2.8342103687354676,1.9135265558095766,-0.2260888122507517
