model,split,group,days,n,RMSE_C,MAE_C,Bias_C
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,MaySep,748,5917,2.7712664820119306,1.8413666867307101,-0.030707257822360376
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.671718844891348,3.3971851185414734,0.042561249478943255
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,Day,748,3611,3.0410882713406986,1.941903953085762,0.6669355796485986
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,Night,748,2306,2.2856275890943554,1.6839338728503574,-1.1231566446860348
REG_SEASONAL_Q0.5,calibration_2000_2016,MaySep,2119,16803,2.373864211058387,1.4595394720487498,0.34778758565594875
REG_SEASONAL_Q0.5,calibration_2000_2016,DTR_GE15,87,689,5.218300655930186,3.3253581608408034,0.46649074889111386
REG_SEASONAL_Q0.5,calibration_2000_2016,Day,2119,10240,2.5172030896613466,1.4675275998173105,0.7354896021988508
REG_SEASONAL_Q0.5,calibration_2000_2016,Night,2119,6563,2.131047300643028,1.44707589923905,-0.2571291672618202
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,MaySep,748,5917,2.783161881516021,1.8440149156631906,0.02653487037618265
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.67898167768459,3.4107994404892454,-0.003975751207304101
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,Day,748,3611,3.0591906794094337,1.9550631641572676,0.694190434404212
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,Night,748,2306,2.2848862986259717,1.6701227971410264,-1.0189569950640662
REG_SEASONAL_Q1,calibration_2000_2016,MaySep,2119,16803,2.382715392103366,1.457713950118645,0.3875597260376139
REG_SEASONAL_Q1,calibration_2000_2016,DTR_GE15,87,689,5.214387163302865,3.3056869443157724,0.5404336897247856
REG_SEASONAL_Q1,calibration_2000_2016,Day,2119,10240,2.53691248834649,1.4763861266232652,0.7557070187863453
REG_SEASONAL_Q1,calibration_2000_2016,Night,2119,6563,2.1198419259007046,1.4285804612557298,-0.1868465329517216
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,MaySep,748,5917,2.80373744041332,1.8479343715324144,0.10339254516322884
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.675785653331057,3.402250011370739,0.06555657827699027
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,Day,748,3611,3.093192436136047,1.9717644630999502,0.7306519531805362
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,Night,748,2306,2.277737884749247,1.6540269731584458,-0.8788423734623119
