scenario,arm,KRT,period,n,RMSE_kg_ha,RRMSE_pct,Bias_kg_ha
SRAD19P8_N_OFF,M15_HR_K0.25,0.25,ALL8,8,2611.737927128218,23.61026432795722,1429.75
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2019,4,1301.6455930859213,11.701499881657906,-323.75
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,2020,4,3619.313954328914,32.90285413026285,3464.0
SRAD19P8_N_OFF,REG_HR_K0.25,0.25,ALL8,8,2719.716414444712,24.586396198155484,1570.125
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2019,4,1414.6767298573905,12.717624271108129,-641.75
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,2020,4,3338.78761678547,30.352614698049727,3169.75
SRAD19P8_N_OFF,M15_HR_K0.5,0.5,ALL8,8,2564.060549207058,23.179258030009002,1264.0
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2019,4,1380.6356325982608,12.411602495545663,-562.75
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,2020,4,3463.3998108794776,31.48545282617707,3300.75
SRAD19P8_N_OFF,REG_HR_K0.5,0.5,ALL8,8,2636.4078781554267,23.833282134858933,1369.0
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2019,4,1526.5509326583244,13.723348085477689,-860.75
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2020,4,2934.45787156674,26.676889741515815,2740.5
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,ALL8,8,2338.95283727569,21.1442710867343,939.875
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2019,4,1494.6152514945109,13.436253525065835,-802.75
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2020,4,3302.38198123718,30.02165437488345,3131.25
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,ALL8,8,2563.1622558862714,23.17113740560503,1164.25
