n,mean_srad,sum_rain,sha256,first_date,last_date,scenario,year
184,19.942391304347826,125.5,17f7ed26ee3769d84465c271609eb7d3b487cf98e4f20e8868a6b39e8a37498c,19121,19304,BASE,2019
184,20.57554347826087,153.4,73a5ce6715f8c11a7ef1ca540035fb8ba9e8c672a38a91298b0ac0ef1f4cd09b,20122,20305,BASE,2020
184,19.942391304347826,144.8,1e8a408c9b0a8ac7f0c272d01022e58e6b1aa77415ebb709e0ee7f42d152d317,19121,19304,RAIN_MATCH,2019
184,20.57554347826087,177.6,07ee0e75bbaa916fb753abf6a18a35cebd1378f5fe218b27809aa528a53b44d5,20122,20305,RAIN_MATCH,2020
184,16.94728260869565,125.5,b34a04231c51033ce4e47da44ac8768fce0e5ea89f5047bad54342028cbebabf,19121,19304,SRAD_19P8,2019
184,16.838043478260868,153.4,d238a68fa967cd0017d9b8ebee979e500c12cbc33e159a33faab10b80ac7939a,20122,20305,SRAD_19P8,2020
184,16.94728260869565,144.8,54c3fb5039e54adc323e35c49f393013216e9de92ddbed0c8697c63616197835,19121,19304,WEATHER_BOTH,2019
184,16.838043478260868,177.6,0becfd0d624d60a2ff7aa0c7edd5a0e59523d5162e29a620751073e8cfc556fe,20122,20305,WEATHER_BOTH,2020
