arm,actual_RMSE,actual_RRMSE,PASS
H0TT,2977.2722205065497,26.914715819032036,True
M15_13P5,2820.486660135091,25.497365140494637,True
M15_13P8,2656.20001129433,24.012204181427922,True
R1_P05,2820.486660135091,25.497365140494637,True
R1_P05_treatment_HWAM_equals_M15_13P5,,,True
