arm,expected_RMSE,actual_RMSE,expected_RRMSE,actual_RRMSE,RMSE_pass,RRMSE_pass,PASS
H0TT,2977.2722,2977.2722205065497,26.9147158,26.914715819032036,True,True,True
M15_13P5,2820.48666,2820.486660135091,25.4973651,25.497365140494637,True,True,True
M15_13P8,2656.20001,2656.20001129433,24.0122042,24.012204181427922,True,True,True
