arm,year,treatment,observed_yield_kg_ha,simulated_HWAM_kg_ha,error_kg_ha,ARE_pct,CWAM
M0,2019,W1,9250,12536.0,3286.0,35.524324324324326,
M0,2019,W2,10725,12548.0,1823.0,16.997668997668995,
M0,2019,W3,12490,12548.0,58.0,0.46437149719775817,
M0,2019,W4,12030,12548.0,518.0,4.3059019118869495,
M0,2020,W1,9275,17388.0,8113.0,87.47169811320755,
M0,2020,W2,11100,17405.0,6305.0,56.8018018018018,
M0,2020,W3,12030,17402.0,5372.0,44.65502909393184,
M0,2020,W4,11595,17403.0,5808.0,50.09055627425615,
H0TT,2019,W1,9250,12379.0,3129.0,33.82702702702703,
H0TT,2019,W2,10725,12391.0,1666.0,15.533799533799533,
H0TT,2019,W3,12490,12391.0,-99.0,0.7926341072858287,
H0TT,2019,W4,12030,12391.0,361.0,3.000831255195345,
H0TT,2020,W1,9275,16447.0,7172.0,77.32614555256065,
H0TT,2020,W2,11100,16787.0,5687.0,51.234234234234236,
H0TT,2020,W3,12030,16784.0,4754.0,39.517871986699916,
H0TT,2020,W4,11595,16785.0,5190.0,44.76067270375162,
M15TT,2019,W1,9250,12536.0,3286.0,35.524324324324326,
M15TT,2019,W2,10725,12548.0,1823.0,16.997668997668995,
M15TT,2019,W3,12490,12548.0,58.0,0.46437149719775817,
M15TT,2019,W4,12030,12548.0,518.0,4.3059019118869495,
M15TT,2020,W1,9275,16977.0,7702.0,83.04043126684635,
M15TT,2020,W2,11100,16990.0,5890.0,53.06306306306306,
M15TT,2020,W3,12030,16986.0,4956.0,41.19700748129676,
M15TT,2020,W4,11595,16986.0,5391.0,46.494178525226395,
