arm,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,published_M0_RRMSE_pct
M0,2019,1896.8930518086675,17.052640088177707,1421.25,1421.25,6.52
M0,2020,6483.923233660313,58.94475666963921,6399.5,6399.5,5.69
H0TT,2019,1782.2962015332917,16.022440287972056,1313.75,1264.25,
H0TT,2020,5773.131061217994,52.483009647436305,5700.75,5700.75,
M15TT,2019,1896.8930518086675,17.052640088177707,1421.25,1421.25,
M15TT,2020,6075.31318122778,55.23011982934345,5984.75,5984.75,
