year,n_days,mean_DTR_C,max_DTR_C,DTR_gt_14p8_days,DTR_ge_18_days,DTR_ge_20_days
2019,151,13.2858940397351,18.279999999999998,46,3,0
2020,149,13.233557046979865,22.33,46,4,1
