DTR_bin,n_hour_points,M0_RMSE_C,M15_RMSE_C,RMSE_reduction_pct,M0_MBE_C,M15_MBE_C,M0_R2,M15_R2
<10,898,1.6874148712438435,1.6874119081653243,0.00017559869654517455,0.2745629175946547,0.27456226325953326,0.9337148864945467,0.9337151096037355
10-<15,4044,2.39792330482667,2.3970633791028577,0.035861268877179386,0.13851701285855586,0.13784164361205964,0.8552581938588879,0.8553489569427336
15-<18,856,4.834838907296637,4.455076023708645,7.854716379792145,1.1196969626168225,0.49386706988447704,0.5957300782182131,0.6459400173917564
18-<20,72,6.289955820823916,5.542573380959222,11.882157222636819,1.3515097222222219,-0.5567895583807188,0.3466413735528625,0.5006853135296688
>=20,47,7.601777098208751,6.744293917810105,11.280035830052148,2.776589361702128,-0.3074480064899648,0.21191821059253585,0.3786672737251509
