year,n_highDTR_days,M0_RMSE_C,M15_RMSE_C,RMSE_reduction_pct
2020,25,5.182119073570513,4.721505992336168,8.888508247205898
2021,33,5.097851384559286,4.564037889919542,10.47134281428042
2022,19,4.7959503444513425,4.507153887223483,6.021673213568228
2023,22,4.976798818976559,4.626126817738641,7.046135759010461
2024,24,5.456593539398965,4.960157070156847,9.097919162525706
