date,year,doy,SRAD_MJ_m2_d,TMAX_C,TMIN_C,RAIN_mm
2019-05-01,2019,121,11.23,16.39,11.55,3.02
2019-05-02,2019,122,24.57,23.78,10.59,0.6
2019-05-03,2019,123,18.27,25.32,9.52,5.92
2019-05-04,2019,124,16.45,17.54,9.77,6.67
2019-05-05,2019,125,21.01,19.3,7.77,2.8
2019-05-06,2019,126,22.63,20.0,7.67,0.97
2019-05-07,2019,127,20.7,20.08,10.62,0.75
2019-05-08,2019,128,23.87,24.91,12.58,0.0
2019-05-09,2019,129,26.77,27.23,11.52,0.0
2019-05-10,2019,130,26.46,28.91,12.29,0.0
2019-05-11,2019,131,29.16,21.26,8.5,0.0
2019-05-12,2019,132,26.15,25.35,7.84,0.03
2019-05-13,2019,133,21.4,27.36,10.37,0.58
2019-05-14,2019,134,21.1,21.09,9.43,7.2
2019-05-15,2019,135,27.54,26.84,8.76,1.07
2019-05-16,2019,136,6.35,14.22,6.16,1.69
2019-05-17,2019,137,24.06,16.21,5.87,0.23
2019-05-18,2019,138,30.4,19.78,2.84,0.0
2019-05-19,2019,139,22.26,21.45,6.29,0.0
2019-05-20,2019,140,26.94,26.12,11.65,0.0
2019-05-21,2019,141,25.39,33.26,14.98,0.0
2019-05-22,2019,142,22.59,30.78,16.24,0.48
2019-05-23,2019,143,10.46,19.07,10.98,4.33
2019-05-24,2019,144,27.41,23.01,9.5,0.23
2019-05-25,2019,145,28.49,25.63,8.52,0.02
2019-05-26,2019,146,23.05,27.65,14.07,0.12
2019-05-27,2019,147,8.4,26.34,14.17,1.41
2019-05-28,2019,148,26.78,21.56,12.45,1.49
2019-05-29,2019,149,30.13,26.09,12.54,0.0
2019-05-30,2019,150,30.79,30.2,15.47,0.0
2019-05-31,2019,151,25.72,32.22,17.97,0.0
2019-06-01,2019,152,29.38,32.66,15.73,0.01
2019-06-02,2019,153,18.17,32.87,16.92,0.19
2019-06-03,2019,154,25.1,30.61,20.03,0.58
2019-06-04,2019,155,25.6,32.57,17.93,0.02
2019-06-05,2019,156,24.65,30.58,19.75,0.05
2019-06-06,2019,157,27.96,33.97,19.35,0.02
2019-06-07,2019,158,22.94,30.73,20.94,1.08
2019-06-08,2019,159,29.61,33.09,18.01,0.02
2019-06-09,2019,160,11.13,23.66,16.15,3.53
2019-06-10,2019,161,18.58,26.4,13.87,0.26
2019-06-11,2019,162,11.85,22.38,15.61,0.82
2019-06-12,2019,163,8.91,20.61,14.63,6.01
2019-06-13,2019,164,28.11,26.79,13.87,1.88
2019-06-14,2019,165,25.05,29.1,16.41,0.06
2019-06-15,2019,166,27.59,33.47,17.4,0.0
2019-06-16,2019,167,18.97,33.14,18.96,1.5
2019-06-17,2019,168,30.07,29.07,15.45,0.42
2019-06-18,2019,169,24.64,33.33,16.68,0.03
2019-06-19,2019,170,20.57,32.21,21.03,2.01
2019-06-20,2019,171,17.68,25.51,17.65,1.25
2019-06-21,2019,172,22.32,30.47,18.46,1.13
2019-06-22,2019,173,26.26,35.23,20.4,0.36
2019-06-23,2019,174,12.74,29.39,20.91,1.47
2019-06-24,2019,175,28.14,30.33,18.22,1.04
2019-06-25,2019,176,26.63,30.52,15.84,0.0
2019-06-26,2019,177,29.39,31.98,17.66,0.91
2019-06-27,2019,178,29.91,33.42,19.33,0.07
2019-06-28,2019,179,28.78,36.15,21.31,0.0
2019-06-29,2019,180,28.74,37.53,24.01,0.1
2019-06-30,2019,181,27.78,39.57,24.66,0.0
2019-07-01,2019,182,30.3,37.9,22.48,0.07
2019-07-02,2019,183,29.7,38.68,21.82,0.0
2019-07-03,2019,184,30.13,38.91,21.31,0.0
2019-07-04,2019,185,13.04,34.37,20.18,2.64
2019-07-05,2019,186,28.35,33.48,19.45,0.85
2019-07-06,2019,187,29.22,36.25,22.72,0.16
2019-07-07,2019,188,22.68,39.57,21.84,0.0
2019-07-08,2019,189,25.15,31.01,23.56,0.91
2019-07-09,2019,190,25.7,37.26,23.71,0.23
2019-07-10,2019,191,25.34,38.05,23.02,1.36
2019-07-11,2019,192,28.9,32.63,20.78,0.12
2019-07-12,2019,193,29.43,34.5,20.34,0.0
2019-07-13,2019,194,28.52,35.6,18.98,0.0
2019-07-14,2019,195,27.62,37.82,21.5,0.0
2019-07-15,2019,196,28.25,36.13,22.16,0.1
2019-07-16,2019,197,28.73,37.99,22.95,0.01
2019-07-17,2019,198,28.4,38.96,21.74,0.0
2019-07-18,2019,199,26.47,39.47,23.76,0.0
2019-07-19,2019,200,23.16,40.3,25.85,0.05
2019-07-20,2019,201,20.51,38.32,23.19,0.84
2019-07-21,2019,202,24.87,36.04,22.85,1.05
2019-07-22,2019,203,25.88,35.81,23.67,0.39
2019-07-23,2019,204,20.75,36.89,22.92,0.03
2019-07-24,2019,205,19.47,34.28,23.42,0.51
2019-07-25,2019,206,5.33,28.69,21.49,2.9
2019-07-26,2019,207,26.56,31.85,19.48,0.38
2019-07-27,2019,208,15.67,33.03,18.7,1.93
2019-07-28,2019,209,24.03,32.68,19.82,0.38
2019-07-29,2019,210,24.27,35.36,18.91,0.02
2019-07-30,2019,211,24.48,39.57,23.6,0.13
2019-07-31,2019,212,24.62,36.47,23.6,0.28
2019-08-01,2019,213,20.23,36.34,24.24,0.08
2019-08-02,2019,214,26.46,38.75,25.36,0.73
2019-08-03,2019,215,24.46,40.66,27.45,0.26
2019-08-04,2019,216,15.48,40.36,26.18,0.0
2019-08-05,2019,217,20.85,40.19,25.91,0.22
2019-08-06,2019,218,25.17,38.33,25.47,0.51
2019-08-07,2019,219,26.11,39.04,23.3,0.51
2019-08-08,2019,220,26.87,39.69,21.74,0.0
2019-08-09,2019,221,25.76,42.12,23.94,0.0
2019-08-10,2019,222,5.72,29.43,19.12,3.15
2019-08-11,2019,223,26.26,31.83,17.65,0.0
2019-08-12,2019,224,26.06,34.4,18.03,0.0
2019-08-13,2019,225,25.67,39.2,22.23,0.0
2019-08-14,2019,226,21.37,40.73,24.72,0.0
2019-08-15,2019,227,14.76,31.49,21.58,0.15
2019-08-16,2019,228,10.6,32.78,20.02,0.11
2019-08-17,2019,229,9.18,28.33,16.78,1.61
2019-08-18,2019,230,16.54,28.46,15.21,1.18
2019-08-19,2019,231,23.2,29.89,16.2,0.1
2019-08-20,2019,232,18.31,27.05,18.64,0.61
2019-08-21,2019,233,23.59,32.84,18.7,0.06
2019-08-22,2019,234,22.57,34.27,21.62,0.19
2019-08-23,2019,235,22.35,33.66,21.4,0.02
2019-08-24,2019,236,16.2,29.31,16.36,1.0
2019-08-25,2019,237,21.96,30.53,18.2,0.7
2019-08-26,2019,238,24.01,33.25,19.28,0.0
2019-08-27,2019,239,23.35,35.87,19.79,0.0
2019-08-28,2019,240,16.1,37.17,23.8,0.0
2019-08-29,2019,241,23.0,38.86,22.71,0.0
2019-08-30,2019,242,21.15,39.48,24.1,0.0
2019-08-31,2019,243,21.59,33.97,22.14,0.49
2019-09-01,2019,244,21.49,31.68,20.42,1.96
2019-09-02,2019,245,11.18,30.9,19.6,1.33
2019-09-03,2019,246,19.48,30.42,18.62,0.85
2019-09-04,2019,247,16.64,32.11,18.18,0.47
2019-09-05,2019,248,7.71,25.26,16.88,0.01
2019-09-06,2019,249,16.07,26.54,14.59,0.55
2019-09-07,2019,250,20.04,27.05,13.65,0.0
2019-09-08,2019,251,20.73,28.88,13.65,0.0
2019-09-09,2019,252,19.61,30.71,14.68,0.21
2019-09-10,2019,253,4.44,16.8,10.51,14.38
2019-09-11,2019,254,19.87,21.32,8.98,0.18
2019-09-12,2019,255,19.73,23.67,9.81,0.0
2019-09-13,2019,256,20.34,23.97,8.89,0.0
2019-09-14,2019,257,20.86,25.28,12.03,0.0
2019-09-15,2019,258,20.31,26.62,11.63,0.0
2019-09-16,2019,259,9.4,24.29,12.28,1.18
2019-09-17,2019,260,16.01,22.33,12.85,0.57
2019-09-18,2019,261,19.56,26.92,13.52,0.0
2019-09-19,2019,262,18.19,28.59,14.03,0.0
2019-09-20,2019,263,18.62,30.96,17.57,0.0
2019-09-21,2019,264,18.41,31.96,18.39,0.0
2019-09-22,2019,265,18.06,33.01,17.65,0.0
2019-09-23,2019,266,17.57,34.57,19.27,0.0
2019-09-24,2019,267,15.62,31.17,18.44,0.0
2019-09-25,2019,268,14.68,28.5,17.71,0.0
2019-09-26,2019,269,13.13,24.78,17.24,0.14
2019-09-27,2019,270,13.6,29.23,15.97,0.37
2019-09-28,2019,271,9.37,27.13,16.97,0.13
2019-09-29,2019,272,13.55,28.28,17.49,0.17
2019-09-30,2019,273,2.23,17.92,10.27,4.76
2019-10-01,2019,274,6.23,17.55,8.23,0.13
2019-10-02,2019,275,5.81,14.53,6.16,0.14
2019-10-03,2019,276,10.16,11.86,3.68,0.46
2019-10-04,2019,277,16.53,17.3,4.63,0.01
2019-10-05,2019,278,16.01,20.89,5.62,0.0
2019-10-06,2019,279,15.0,23.06,7.35,0.0
2019-10-07,2019,280,14.99,25.42,11.61,0.0
2019-10-08,2019,281,13.41,21.09,11.47,0.32
2019-10-09,2019,282,11.59,25.22,13.59,0.15
2019-10-10,2019,283,11.84,24.14,11.82,0.87
2019-10-11,2019,284,14.07,24.84,12.93,0.16
2019-10-12,2019,285,11.73,19.0,12.46,0.13
2019-10-13,2019,286,13.68,21.3,9.33,0.01
2019-10-14,2019,287,13.94,23.2,9.25,0.0
2019-10-15,2019,288,10.57,19.3,8.78,0.0
2019-10-16,2019,289,13.22,19.1,7.46,0.0
2019-10-17,2019,290,12.41,23.16,7.82,0.0
2019-10-18,2019,291,8.41,11.08,3.14,4.25
2019-10-19,2019,292,14.18,15.82,2.22,0.0
2019-10-20,2019,293,12.68,17.69,3.19,0.0
2019-10-21,2019,294,8.57,14.59,2.6,0.12
2019-10-22,2019,295,8.05,6.66,-1.93,0.22
2019-10-23,2019,296,11.76,9.34,-3.98,0.04
2019-10-24,2019,297,12.96,10.95,-2.29,0.0
2019-10-25,2019,298,10.81,14.1,1.58,0.0
2019-10-26,2019,299,12.16,15.79,4.25,0.0
2019-10-27,2019,300,12.36,16.35,2.64,0.0
2019-10-28,2019,301,10.83,14.63,1.79,0.0
2019-10-29,2019,302,11.39,19.23,6.74,0.0
2019-10-30,2019,303,11.69,19.3,5.55,0.0
2019-10-31,2019,304,10.99,19.18,7.78,0.0
