scenario,arm,year,treatment,obs,HWAM,error,abs_error,ARE_pct,SRADA
RAW_N_OFF,T14P8,2019,W4,12030,12772.0,742.0,742.0,6.167913549459684,23.4
RAW_N_OFF,T14P8,2020,W1,9275,17191.0,7916.0,7916.0,85.3477088948787,24.2
RAW_N_OFF,T14P8,2020,W2,11100,17192.0,6092.0,6092.0,54.88288288288288,24.2
RAW_N_OFF,T14P8,2020,W3,12030,17192.0,5162.0,5162.0,42.9093931837074,24.2
RAW_N_OFF,T14P8,2020,W4,11595,17192.0,5597.0,5597.0,48.27080638206123,24.2
SRAD19P8_N_OFF,H0TT,2019,W1,9250,10901.0,1651.0,1651.0,17.84864864864865,19.9
SRAD19P8_N_OFF,H0TT,2019,W2,10725,10901.0,176.0,176.0,1.641025641025641,19.9
SRAD19P8_N_OFF,H0TT,2019,W3,12490,10901.0,-1589.0,1589.0,12.722177742193756,19.9
SRAD19P8_N_OFF,H0TT,2019,W4,12030,10901.0,-1129.0,1129.0,9.384871155444722,19.9
SRAD19P8_N_OFF,H0TT,2020,W1,9275,14872.0,5597.0,5597.0,60.34501347708895,19.8
SRAD19P8_N_OFF,H0TT,2020,W2,11100,14871.0,3771.0,3771.0,33.972972972972975,19.8
SRAD19P8_N_OFF,H0TT,2020,W3,12030,14871.0,2841.0,2841.0,23.615960099750623,19.8
SRAD19P8_N_OFF,H0TT,2020,W4,11595,14872.0,3277.0,3277.0,28.26218197498922,19.8
SRAD19P8_N_OFF,T13P0,2019,W1,9250,10921.0,1671.0,1671.0,18.064864864864866,19.8
SRAD19P8_N_OFF,T13P0,2019,W2,10725,10921.0,196.0,196.0,1.8275058275058276,19.8
SRAD19P8_N_OFF,T13P0,2019,W3,12490,10921.0,-1569.0,1569.0,12.56204963971177,19.8
SRAD19P8_N_OFF,T13P0,2019,W4,12030,10921.0,-1109.0,1109.0,9.218620116375728,19.8
SRAD19P8_N_OFF,T13P0,2020,W1,9275,14637.0,5362.0,5362.0,57.81132075471698,19.8
SRAD19P8_N_OFF,T13P0,2020,W2,11100,14636.0,3536.0,3536.0,31.855855855855857,19.8
SRAD19P8_N_OFF,T13P0,2020,W3,12030,14636.0,2606.0,2606.0,21.662510390689942,19.8
SRAD19P8_N_OFF,T13P0,2020,W4,11595,14636.0,3041.0,3041.0,26.226821905993962,19.8
SRAD19P8_N_OFF,T13P5,2019,W1,9250,10921.0,1671.0,1671.0,18.064864864864866,19.8
SRAD19P8_N_OFF,T13P5,2019,W2,10725,10921.0,196.0,196.0,1.8275058275058276,19.8
SRAD19P8_N_OFF,T13P5,2019,W3,12490,10921.0,-1569.0,1569.0,12.56204963971177,19.8
SRAD19P8_N_OFF,T13P5,2019,W4,12030,10921.0,-1109.0,1109.0,9.218620116375728,19.8
SRAD19P8_N_OFF,T13P5,2020,W1,9275,14631.0,5356.0,5356.0,57.746630727762806,19.8
SRAD19P8_N_OFF,T13P5,2020,W2,11100,14630.0,3530.0,3530.0,31.8018018018018,19.8
SRAD19P8_N_OFF,T13P5,2020,W3,12030,14630.0,2600.0,2600.0,21.612635078969245,19.8
SRAD19P8_N_OFF,T13P5,2020,W4,11595,14630.0,3035.0,3035.0,26.175075463561882,19.8
SRAD19P8_N_OFF,T13P8,2019,W1,9250,10920.0,1670.0,1670.0,18.054054054054053,19.8
SRAD19P8_N_OFF,T13P8,2019,W2,10725,10920.0,195.0,195.0,1.8181818181818181,19.8
SRAD19P8_N_OFF,T13P8,2019,W3,12490,10920.0,-1570.0,1570.0,12.57005604483587,19.8
SRAD19P8_N_OFF,T13P8,2019,W4,12030,10920.0,-1110.0,1110.0,9.226932668329177,19.8
SRAD19P8_N_OFF,T13P8,2020,W1,9275,14374.0,5099.0,5099.0,54.97574123989218,19.8
SRAD19P8_N_OFF,T13P8,2020,W2,11100,14373.0,3273.0,3273.0,29.486486486486488,19.8
SRAD19P8_N_OFF,T13P8,2020,W3,12030,14373.0,2343.0,2343.0,19.476309226932667,19.8
SRAD19P8_N_OFF,T13P8,2020,W4,11595,14373.0,2778.0,2778.0,23.958602846054333,19.8
SRAD19P8_N_OFF,T14P0,2019,W1,9250,10920.0,1670.0,1670.0,18.054054054054053,19.8
SRAD19P8_N_OFF,T14P0,2019,W2,10725,10920.0,195.0,195.0,1.8181818181818181,19.8
SRAD19P8_N_OFF,T14P0,2019,W3,12490,10920.0,-1570.0,1570.0,12.57005604483587,19.8
SRAD19P8_N_OFF,T14P0,2019,W4,12030,10920.0,-1110.0,1110.0,9.226932668329177,19.8
SRAD19P8_N_OFF,T14P0,2020,W1,9275,14422.0,5147.0,5147.0,55.493261455525605,19.8
SRAD19P8_N_OFF,T14P0,2020,W2,11100,14421.0,3321.0,3321.0,29.91891891891892,19.8
SRAD19P8_N_OFF,T14P0,2020,W3,12030,14421.0,2391.0,2391.0,19.875311720698253,19.8
SRAD19P8_N_OFF,T14P0,2020,W4,11595,14421.0,2826.0,2826.0,24.372574385510998,19.8
SRAD19P8_N_OFF,T14P8,2019,W1,9250,11040.0,1790.0,1790.0,19.35135135135135,19.9
SRAD19P8_N_OFF,T14P8,2019,W2,10725,11040.0,315.0,315.0,2.937062937062937,19.9
SRAD19P8_N_OFF,T14P8,2019,W3,12490,11040.0,-1450.0,1450.0,11.609287429943954,19.9
SRAD19P8_N_OFF,T14P8,2019,W4,12030,11040.0,-990.0,990.0,8.229426433915211,19.9
SRAD19P8_N_OFF,T14P8,2020,W1,9275,14556.0,5281.0,5281.0,56.93800539083558,19.8
SRAD19P8_N_OFF,T14P8,2020,W2,11100,14556.0,3456.0,3456.0,31.135135135135137,19.8
SRAD19P8_N_OFF,T14P8,2020,W3,12030,14556.0,2526.0,2526.0,20.997506234413965,19.8
SRAD19P8_N_OFF,T14P8,2020,W4,11595,14556.0,2961.0,2961.0,25.536869340232858,19.8
