year,arm,DTRc_C,n_days,active_days,active_pct
2019,T13P0,13.0,153,91,59.47712418300654
2019,T13P5,13.5,153,80,52.287581699346404
2019,T13P8,13.8,153,71,46.40522875816993
2019,T14P0,14.0,153,66,43.13725490196079
2019,T14P8,14.8,153,46,30.065359477124183
2020,T13P0,13.0,153,89,58.169934640522875
2020,T13P5,13.5,153,75,49.01960784313726
2020,T13P8,13.8,153,70,45.751633986928105
2020,T14P0,14.0,153,67,43.790849673202615
2020,T14P8,14.8,153,47,30.718954248366014
